FID,huc12num,Area,S_N,GAUGE_NAME,SITE_ID,LATITUDE,LONGITUDE,GageH,STN30m,STN1h,STN2h,STN3h,STN6h,STN12h,STN24h
74,110300170207,48.7383,596,AUGUSTA,14-0447,37.6983,-96.9706,1230,35.25416256,71.84471595,46.39362914,60.88115213,94.74636077,143.735021,230.2671594
75,110300170301,57.3183,879,CASSODAY,14-1351,38.0528,-96.6378,1460,30.6398855,38.13032215,47.20491652,65.46601517,117.6955785,207.9352861,245.3857913
76,110300180204,51.2304,636,BEAUMONT,14-0637,37.6556,-96.5353,1590,37.64421329,51.98430616,56.34031517,70.18683888,112.7497518,165.0825212,243.5731484
77,110300180404,53.4261,583,ATLANTA,14-0424,37.4372,-96.7669,1430,36.28840949,50.32755355,51.52473517,65.55672276,95.07653287,146.8493926,227.3774604
78,110300180409,38.7621,558,ARKANSAS CITY,14-0313,37.0631,-97.04,1118,36.16207388,57.91021222,45.91322207,49.71655907,82.51444098,127.8179594,253.3053434
79,110400020403,33.1149,845,CAMPO 7 S,05-1268,37.0158,-102.555,4118,26.21889358,30.88061471,38.05735173,44.60080991,58.02059777,79.3412848,88.99275086
80,110400050703,39.9984,679,BIG BOW 4 WSW,14-0802,37.5514,-101.6344,3230,26.93058719,37.15570109,39.49933005,53.73569445,97.26068418,154.8356099,189.4973538
81,110400050704,50.31,678,BIG BOW 2 S,14-0800,37.5333,-101.5667,3170,26.12428998,34.76908774,41.45881151,58.26013664,99.35268048,154.2177475,210.8777965
82,110400080405,56.6865,989,COLDWATER,14-1704,37.2706,-99.3272,2083,36.26838024,49.0358002,58.97843554,77.42921487,114.0273716,191.7942977,323.1241117
83,110400080603,58.4805,572,ASHLAND,14-0365,37.1942,-99.7633,1970,35.65116515,42.78966296,50.82901752,62.44237091,112.1922882,175.9945647,205.6007978
84,110500010104,42.3618,795,BUFFALO 2 SSW,34-1243,36.8003,-99.6403,1930,33.32112778,45.9284849,54.62352568,75.15811407,131.2877972,216.586735,317.4449542
85,110500010604,46.1097,1082,DACOMA 2 NE,34-2341,36.6833,-98.55,1480,36.17189665,57.80715831,47.70011629,57.2312279,84.31627825,157.8108347,237.7398379
86,110600020301,41.9133,466,AETNA 2 S,14-0069,37.0667,-98.9667,1572,33.30792075,41.41198132,53.93268764,72.52604885,112.2616229,160.8118677,282.4040907
87,110600020404,54.5766,514,ALVA 1 NE,34-0193,36.8186,-98.6447,1305,38.30024594,74.41567207,48.15671104,58.31471238,88.21552964,149.5580419,223.5161095
88,110600040201,57.2871,590,ATTICA 6 WNW,14-0431,37.2667,-98.3167,1440,36.46164564,40.78541281,57.8411399,73.9348808,103.6980377,142.9419606,222.6513216
89,110600040305,27.1557,937,CHEROKEE,34-1724,36.7747,-98.3583,1180,38.63535181,51.15473083,50.50789466,65.61810788,88.33848554,163.6597226,225.2665917
90,110600050406,35.3496,540,ANTHONY 2 W,14-0264,37.155,-98.0283,1340,35.1700574,52.21531649,55.7104481,72.26500611,120.805493,166.3600802,238.7232449
91,110600050505,43.7307,834,CALDWELL,14-1233,37.0247,-97.6092,1140,37.16681689,55.89103387,52.28389029,71.00235351,113.5559688,167.9196114,285.5157795
92,110600050708,34.9128,703,BLACKWELL 1 W,34-0814,36.8,-97.3,1040,31.44203259,41.66914735,49.06967766,62.91812528,86.4886924,117.893096,166.1787545
93,110701030109,44.7135,985,COFFEYVILLE WTR WRKS,14-1673,37.0614,-95.6356,700,37.21327266,49.03698807,52.96668472,69.34148746,116.9972217,193.7172017,292.494521
94,110701030207,25.5294,984,COFFEYVILLE,14-1668,37.0333,-95.6167,741,38.44983397,52.13619303,59.0421474,76.03869943,105.7071993,168.4863868,229.490548
95,110701060107,36.6015,897,CEDAR VALE 5SSE,14-1395,37.0347,-96.4631,880,39.72702063,48.6292749,66.88990434,88.27859527,117.4648256,162.2279291,276.2624374
96,110701060607,28.3218,616,BARTLESVILLE MUNI AP,34-0548,36.7683,-96.0261,715,43.59512163,58.42242802,64.75766574,84.53865268,121.015091,183.5606111,270.6458568
97,110702010106,53.1102,1044,COUNCIL GROVE LAKE,14-1867,38.6753,-96.5258,1320,31.44062866,38.2330745,51.35236348,67.05646944,97.90786382,148.3910305,192.8954962
98,110702010204,42.2643,909,CHALK,14-1425,38.7675,-96.2567,1480,31.73566887,35.82599574,49.00746405,61.185977,89.5828432,126.6571074,168.723186
99,110702010205,38.1186,814,BUSHONG 5 W,14-1202,38.6453,-96.3506,1390,34.8492848,41.99577391,52.48109151,65.1189461,98.63837806,152.6981592,194.3216995
100,110702010207,52.6851,1043,COUNCIL GROVE,14-1866,38.6667,-96.5,1312,31.44062866,38.2330745,51.35236348,67.05646944,97.90786382,148.3910305,192.8954962
101,110702030205,40.365,1039,COTTONWOOD FALLS,14-1858,38.3689,-96.5442,1210,37.99571919,62.82158568,53.18835232,67.83372947,108.0399975,204.1255732,232.1746616
102,110702040501,53.5002,917,CHANUTE FAA AP,14-1427,37.6703,-95.4842,979,41.60657759,50.88511985,62.35215564,75.92077942,105.155087,204.6510942,296.7121426
103,110702070505,56.2497,872,CARTHAGE,23-1356,37.1772,-94.3047,978,37.27289916,48.84659813,54.68366155,64.39599315,108.055218,182.2072943,312.024483
